FirstName,LastName,SSN,Address,phone,email,BranchCode,AccountNumber,Balance
test,test2,1231231231,qwe,qwe,qwe,B2,00020217,0
rtz,rtz,1231231231,rtz,rtz,rtz,B2,00013587,0
Jangin,Rasheed,1231231231,Berzeliusgasse 14,06784444444,jangin@rasheed,B1,1600,11111111
wow,wow,2131231231,qwe,qwe,qwe,B1,0,00023810
Jangin,Rasheed,1231231231,qwe,qwe,qwe,b2,0,00010487
Jangin,Rasheed,1231231231,qwe,qwe,qwe,b2,0,11111111
Bojan,Veljkovic,1234567890,Beogradaska 12,012335583,bojan@example.com,B1,0,00015044
Jangin,Rasheed,1231231231,qwe,qwe,qwe,B2,0,00025799
Muhammad,Malaz,1231231231,qwe,qwe,qwe,B1,0,00024255
Mhd,malaz,1231231231,qwe,123,a@g.com,B1,0,00003125
